"","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"BV510",-0.000272753214797842,-3.38248451628286e-05,0.000559282572882992,0.00259854027829357,0.0144765513570407,0.0763121493813615,0.43067837756412,0.367125047265743,0.301704576188815,0.110365602941133,0.0400750959318879,0.0191101297119618,0.0133585626199299,0.0126528137814393,0.00894673038093275,0.00654044807918853,0.00184747367398214,0.0285723458454778,0.119692849853312,0.262155466675829,0.701767000374044,0.731239985527078,1,0.693330737220983,0.441914430324088,0.444064331321883,0.150744332854453,0.0693115640399826,0.0512830004783579,0.0350490835957553,0.0249461684478716,0.0109572889024726,0.00390196989226387,0.00350535499917965,0.00422740993273371,0.00187727122541172,0.00192322802201041,0.000996227008684919,0.000812731149297462,3.94040538820843e-05,7.07935228415087e-05,-3.21839491124555e-05,1.48976378810713e-05,-8.46697073002408e-05,3.11800188833462e-05,-0.000254713211706874,0.000370652315635951,0.000318187551672145,0.000281133411997099,0.000132580010884451,-0.000174236285285666,-0.000123977808024089,-0.000334327042126593,0.00028044323195531,-0.000245372195815119,-0.000368843426335063,5.35908140060315e-05,5.75947509816542e-05,-2.36808468652597e-05,0.000155927956590008,7.930201448311e-05,1.51206933123852e-05,3.24748627673184e-06,-0.000244337550529495
"BV605",-9.02306034876693e-05,3.48203564683126e-05,0.00236474981609202,0.0023766431213749,0.0025495375613152,0.00334382093436182,0.00328465106428892,0.00202285960404776,0.0849433488454704,0.184564848508236,0.0929183865832422,0.0387831751839093,0.0295438015788833,0.0276185552370033,0.0169880397969273,0.0120891637987352,0.0726436151024972,0.0956278322233955,0.080205649946003,0.0422455390287008,0.0208040331526384,0.0114675842607615,0.0117982986146002,0.200335483910522,0.80124517538219,1,0.478537430755589,0.194072344002747,0.152387297195667,0.102530314700576,0.062249682863564,0.0265650750427757,0.000829336060200184,0.000723428546118295,0.00104118229157552,0.00715842627306442,0.0389957545369986,0.0378572526367924,0.0276081131683382,0.0175741460322159,0.0136661487714737,0.00830765000735249,0.00504053703585173,0.00354152584917836,0.00224808873654291,0.00275131590100679,0.0714330984946785,0.347153658967665,0.3573060937182,0.22837851061519,0.137317149650434,0.0931814626680757,0.103676774160029,0.0405542259063066,0.0240471093041506,0.0137332943747878,0.000999962579308626,0.000785617884353735,0.000789525925281718,0.000693504759768989,0.000387285299081337,0.000270952075197947,0.000269185451929532,2.99606722654785e-05
"Spark Blue 550",-0.000466422561669473,-0.000162148564621761,0.000200281599167233,0.000785837206388483,0.00123826267599473,0.00139076214011279,0.00656814770756409,0.0390787347801119,0.0312866683518192,0.00929863727157427,0.00337861833692938,0.00195659113533079,0.00112930062796743,0.000798347405566678,0.00118229713166416,0.00129424501132725,-0.000517262588590003,0.000744344707211604,0.00121032274494804,0.00148288723215312,0.00592446132310152,0.0866516438207641,0.309186126620432,0.182843266770183,0.115499543623279,0.103159414999682,0.0361384937131436,0.0174374832103942,0.0145142881046547,0.0110491040111361,0.00837511902065506,0.00408532574069321,0.0411008137838264,0.361575891915538,1,0.410200780504449,0.303397262422011,0.183539925564285,0.0966141673866619,0.0663005401897179,0.0621023591401005,0.035566677499214,0.0227325119128841,0.0190911771390844,0.0138484760221615,0.016522352277544,0.0175283393066046,0.0104884693437188,0.0073584482540153,0.00275350569425056,0.00163061451059349,0.00168858762197257,0.0011622211972697,0.000759393628090059,-0.000759862833594564,0.000105038266169194,7.38225794892125e-05,0.000542081601495212,0.000261768308853514,-0.000648070762187987,-0.000252126855607841,0.000184266373209636,-0.000519481981987843,-0.000502556232295034
"Alexa Fluor 700",-0.000188195800959988,9.15859191749072e-06,0.000350701022299666,0.000773978840824187,0.00145532019327812,0.00226907846209541,0.00339525275734172,0.00212398315621773,0.000990292024509103,8.52215615170455e-05,0.000345930563602491,0.00783703466563824,0.037884246126419,0.0384602303350632,0.0209730326265858,0.016098384388901,4.17681399009877e-05,0.000384057040329966,0.000723593630186485,0.000863690072204599,0.000725734352711707,0.000841668053586183,0.00129796131962255,0.000255603317819557,0.000429806886830212,0.000365290596894646,0.00171981929969752,0.0321228151863393,0.179496904383774,0.12830301110941,0.0725544050978854,0.0355496151595607,0.000912034371172223,0.000921770209455303,0.000876581438154337,0.000286614876263739,0.000577818858385259,0.000134490102678004,0.00013419621386673,0.000782013922642746,0.00888002044523766,0.0228934096571373,0.0169735250029142,0.00985110255428404,0.00671815868952845,0.00785016712358721,0.000174951795363052,4.39073056846285e-05,0.000487195467370285,0.00106817743367188,0.00622302671728236,0.0479852083375136,0.28010728016511,0.123036915573411,0.0702979614235092,0.0465641625200779,0.00294972627902178,0.0393842450289981,0.364058347335935,1,0.910675491816012,0.451463767670476,0.427468983138836,0.246509167514576
"7-AAD",4.4796148190817e-05,-0.00010485298101216,-0.000254022011734328,-0.000988835430652988,-0.00100789414648855,-0.00112672080823279,-0.00205031151760358,-0.00227673333206955,-0.0011337796667728,0.00873621968565483,0.023908392214757,0.0162010020390556,0.0135511657438861,0.0145070515567773,0.00992258135617361,0.00745046083350599,-0.000800548632717383,-0.000727608954359827,-0.000841082978201761,-0.000150067494370336,-0.000797913569464441,-0.00106520546772461,-0.00139739383564694,0.00298867263607109,0.0174935965412956,0.0902533906145709,0.157054702112212,0.103947019450395,0.0925050123926644,0.0716730941792251,0.0519519734287357,0.0245092301466203,-0.00143616666840511,-0.00100636971120003,-0.0012726204042273,0.00816494150920747,0.0444815038522964,0.16478523053794,0.432137101954048,0.367679575297805,0.391465350866672,0.242107968230633,0.155671372554265,0.13471217690896,0.0989456530164217,0.11035998289826,0.026982509346062,0.102279122024009,0.322557197443716,1,0.810752664488804,0.746530372748848,0.897883288228057,0.414001965709581,0.306329482961413,0.189065213980285,0.0138879249630435,0.0191313322570729,0.0190350405285709,0.0143610777179121,0.0111611713823242,0.00791796947262959,0.00802896286605766,0.0039415268310155
"AF",0.00928582405137442,0.0817571866928143,0.206509319142432,0.257580144321087,0.354575951881322,0.603038094665307,1,0.531879836323854,0.33130091579821,0.10512450220582,0.0176952152788662,0.0102383300885287,0.00551739723591316,0.0253328846769399,0.00906806632952427,0.0105763496968066,-0.029649975674507,0.0182520796980919,0.0821702477718865,0.0855044828146354,0.095897023736041,0.0902867877544482,0.132868883432168,0.0635116151653034,-0.0182831414205773,-0.0305545839196445,-0.0485815186579768,-0.0375035105630647,-0.0264460587475088,-0.0153500253711057,-0.0197757542653953,-0.0154615240517487,0.0164939324933966,0.00705494896598065,0.00317855954333951,0.0106914127156364,-0.0223944521901863,-0.0357521689044592,-0.0191535071976337,-0.010626345238646,-0.031602660559911,-0.0219920047445847,-0.0116795458733337,0.00195134708273152,-0.0053600822819553,-0.0190680221350196,-0.0129333497923697,-0.0269841889734055,-0.0413665827545456,-0.0455293616340353,-0.0288697061619758,-0.034330565878125,-0.0445371303012984,-0.0176013392079163,-0.0123816675321318,-0.00412101023460133,0.00299133128900549,-0.00923546622590891,-0.0133506300861573,-0.020066088612625,-0.0016346078404184,-0.0105640661064335,-0.0151512017148837,0.00273099850646795
