"Date","InstrumentSerial","Specimen","StartTime","EndTime","Volume","Cells","Concentration"
"30-Jul-2025","V0333","CellCounts4L_AB_04-INF124-7-00_01.fcs","13:48:10.76","13:48:37.88",30.99,544,1755404.96934495
"30-Jul-2025","V0333","CellCounts4L_AB_04-INF149-4-00_01.fcs","13:33:43.49","13:34:09.95",30.93,321,1037827.35208535
"30-Jul-2025","V0333","CellCounts4L_AB_04-INF169-6-00_01.fcs","13:40:42.92","13:41:10.01",30.81,206,668614.086335605
"04-Aug-2025","V0333","CellCounts4L_AB_05-INF019-0-00_01.fcs","13:41:23.34","13:41:50.51",30.47,383,1256974.07285855
"04-Aug-2025","V0333","CellCounts4L_AB_05-INF032-5-00_01.fcs","13:35:13.99","13:35:41.15",30.64,166,541775.45691906
"04-Aug-2025","V0333","CellCounts4L_AB_05-INF180-9-00_01.fcs","13:48:19.41","13:48:46.83",30.73,328,1067360.88512854
"06-Aug-2025","V0333","CellCounts4L_AB_06-INF155-1-00_01.fcs","13:45:36.08","13:46:03.30",30.94,483,1561085.97285068
"06-Aug-2025","V0333","CellCounts4L_AB_06-INF158-4-00_01.fcs","13:39:27.95","13:39:54.12",30.03,426,1418581.41858142
"06-Aug-2025","V0333","CellCounts4L_AB_06-INF159-5-00_01.fcs","13:52:09.56","13:52:36.75",30.93,137,442935.661170385
