"filename","fluorophore","marker","channel","control.type","universal.negative","large.gate","gate.name","gate.define","is.viability"
"PD_AD_CD8 BV510 (Cells)_scatter.fcs","BV510","CD8","V7-A","cells","Unstained (Cells)_scatter.fcs",FALSE,"lymphocytes",TRUE,FALSE
"PD_AD_CD4 BV605 (Cells)_scatter.fcs","BV605","CD4","V10-A","cells","Unstained (Cells)_scatter.fcs",FALSE,"lymphocytes",TRUE,FALSE
"PD_AD_CD3 Spark Blue 550 (Cells)_scatter.fcs","Spark Blue 550","CD3","B3-A","cells","Unstained (Cells)_scatter.fcs",FALSE,"lymphocytes",TRUE,FALSE
"PD_AD_CD45 Alexa Fluor 700 (Cells)_scatter.fcs","Alexa Fluor 700","CD45","R4-A","cells","Unstained (Cells)_scatter.fcs",FALSE,"lymphocytes",FALSE,FALSE
"PD_AD_Viability 7-AAD (Cells)_scatter.fcs","7-AAD","Viability","YG4-A","cells","Unstained (Cells)_scatter.fcs",FALSE,"dead",TRUE,TRUE
"Unstained (Cells)_scatter.fcs","AF","","","cells","Unstained (Cells)_scatter.fcs",FALSE,"lymphocytes",FALSE,FALSE
