"Fluorophore","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PBMC_Unstained",269.981536865234,508.576599121094,436.283355712891,556.994079589844,854.643005371094,1461.91540527344,3130.66674804688,2363.19116210938,2171.82470703125,881.418395996094,536.912902832031,325.390258789062,259.643218994141,314.903869628906,240.974945068359,204.382797241211,441.581420898438,1503.90637207031,2529.7255859375,2947.86254882812,4480.78125,4262.63720703125,5835.2939453125,4353.80078125,3076.83813476562,3550.86889648438,2042.35607910156,1190.68127441406,1136.64379882812,1051.73767089844,958.168518066406,565.056396484375,1446.31518554688,1759.54992675781,2438.21508789062,1657.89025878906,1447.28979492188,1170.19458007812,866.254699707031,639.015014648438,686.139831542969,436.280364990234,338.065032958984,317.589691162109,264.290008544922,335.529754638672,748.019897460938,748.720092773438,921.899597167969,845.809997558594,650.790161132812,589.89013671875,705.600402832031,325.639587402344,294.48974609375,179.68977355957,229.740005493164,283.569793701172,300.230102539062,314.860168457031,183.539581298828,160.860427856445,162.470092773438,101.570457458496
"PBMC_Monocyte_Unstained",978.774780273438,2021.10327148438,1693.85369873047,2004.48083496094,2774.48461914062,4610.505859375,8857.09619140625,6401.34448242188,5836.95068359375,2305.81091308594,1368.72290039062,789.788635253906,643.269165039062,743.266387939453,559.002624511719,445.729156494141,1361.45593261719,4590.12841796875,7426.61596679688,8153.16528320312,11787.0502929688,11160.048828125,15324.9580078125,11594.3095703125,8215.14453125,9337.86474609375,5229.60668945312,2925.07189941406,2695.20629882812,2374.21264648438,2086.01220703125,1158.78137207031,3884.79028320312,4677.17211914062,6512.447265625,4632.84252929688,4016.77221679688,3342.2998046875,2491.6455078125,1804.85522460938,1882.20446777344,1160.314453125,867.879577636719,771.094909667969,615.485046386719,731.834899902344,2236.8154296875,2159.35986328125,2762.44506835938,2477.79028320312,1832.49487304688,1617.63024902344,1928.00952148438,858.619689941406,716.940246582031,427.070129394531,580.124725341797,690.235076904297,726.249572753906,696.920104980469,475.230285644531,372.610260009766,388.185241699219,228.829696655273
"PBMC_Activated_Unstained",303.598937988281,570.084777832031,488.792083740234,618.7998046875,922.212860107422,1572.21313476562,3304.66748046875,2499.52075195312,2308.451171875,959.809875488281,591.355590820312,365.181304931641,294.822448730469,353.132598876953,272.807525634766,231.975616455078,482.624755859375,1630.47534179688,2703.9375,3165.97204589844,4818.275390625,4594.83740234375,6335.037109375,4753.203125,3358.23168945312,3839.99719238281,2180.54418945312,1263.21203613281,1195.7001953125,1091.13110351562,983.743469238281,572.000061035156,1567.08508300781,1940.70471191406,2704.97534179688,1839.95544433594,1606.73547363281,1299.47961425781,970.189819335938,720.492584228516,767.389953613281,492.179901123047,380.704559326172,355.030364990234,293.019927978516,364.649688720703,792.32958984375,775.389709472656,893.68994140625,841.750305175781,660.870056152344,611.239624023438,745.919494628906,359.309814453125,328.650451660156,202.580261230469,247.100494384766,318.499572753906,332.920043945312,349.300476074219,220.710479736328,191.729721069336,196.070068359375,122.780197143555
"PBMC_Dead_Unstained",218.215927124023,410.103576660156,379.610382080078,482.619781494141,713.776916503906,1195.8759765625,2567.94580078125,2026.64465332031,1960.45092773438,898.412872314453,613.445007324219,395.600860595703,328.439849853516,391.881561279297,305.607177734375,251.052444458008,428.794189453125,1402.43127441406,2294.60034179688,2707.30615234375,4262.25927734375,4187.08154296875,5964.47509765625,4773.65673828125,3451.80004882812,4027.20349121094,2383.5625,1384.31555175781,1304.97802734375,1182.36254882812,1046.71911621094,593.518493652344,1799.10205078125,2213.67236328125,3065.79028320312,2096.80212402344,1843.30255126953,1521.22766113281,1179.42456054688,882.667724609375,934.764892578125,597.350280761719,460.004608154297,421.069976806641,343.785430908203,417.917419433594,820.294799804688,857.990112304688,913.010498046875,938.034729003906,750.225311279297,701.889831542969,879.830078125,430.744979858398,389.025085449219,239.749847412109,298.900268554688,389.620422363281,402.500091552734,411.670288085938,280.945190429688,232.259536743164,233.940246582031,140.104942321777
"CBMC_Unstained",341.306701660156,643.12060546875,538.474853515625,646.691040039062,911.762817382812,1458.27075195312,2740.19799804688,1990.34948730469,1858.78051757812,727.461669921875,489.015960693359,296.161163330078,232.644714355469,285.599578857422,210.332427978516,182.962951660156,568.01220703125,1840.9873046875,2918.85009765625,3240.32495117188,4666.40673828125,4414.9873046875,6051.1689453125,4496.11279296875,3148.40625,3560.01318359375,1931.60009765625,1072.01867675781,964.493347167969,855.3876953125,736.862548828125,405.349975585938,1518.91943359375,1916.20043945312,2764.7744140625,1963.91015625,1718.01489257812,1393.60034179688,1019.78448486328,741.194641113281,782.145446777344,477.034820556641,353.079956054688,326.430297851562,250.055145263672,291.135009765625,988.6796875,923.790100097656,1092.5595703125,995.750183105469,736.189514160156,682.849487304688,809.830017089844,365.330352783203,327.600463867188,187.459930419922,275.520355224609,332.499847412109,345.449554443359,352.799774169922,212.100280761719,179.130020141602,172.479598999023,109.199501037598
"CBMC_Dead_Unstained",215.018615722656,395.748962402344,319.143218994141,387.196350097656,542.788635253906,835.97509765625,1616.9873046875,1225.17907714844,1169.24926757812,491.693359375,373.362518310547,241.198318481445,184.00407409668,227.364456176758,164.51741027832,145.254592895508,326.562408447266,1050.77526855469,1663.40612792969,1871.58117675781,2788.9814453125,2722.15673828125,3812.53149414062,2995.50634765625,2133.24389648438,2445.09326171875,1384.349609375,789.249816894531,708.399963378906,631.468444824219,543.812133789062,297.000366210938,1150.75988769531,1435.85034179688,2058.67944335938,1457.75524902344,1281.40979003906,1052.08959960938,790.595275878906,581.35986328125,620.03466796875,376.479949951172,276.705017089844,258.049621582031,195.974792480469,227.240371704102,666.120056152344,633.009582519531,661.639953613281,660.659606933594,508.549713134766,488.879638671875,589.610168457031,273.629730224609,250.460220336914,146.649810791016,224.209671020508,279.650268554688,288.960144042969,300.999816894531,177.800109863281,151.550003051758,140.97966003418,90.7904434204102
