"alias","pop","parent","dims","gating_method","gating_args","collapseDataForGating","groupBy","preprocessing_method","preprocessing_args"
"singlets","+","root","FSC-A,FSC-H","polygon_gate","matrix(c(167775.953032122,2846239.31832593,3325262.74721634,684859.725368963,190759.414461018,291425.595954769,3200456.98911176,2544001.6883727,259546.58679313,310442.538775803),ncol=2)","FALSE","NA","NA","NA"
"nonRBCs","+","/singlets","SSC-A,SSC-B-A","polygon_gate","matrix(c(121176.26456532,3806712.077597,4100605.0312471,539253.646717532,134770.880232747,394215.797685783,3325041.58515875,2512179.19649572,101239.203583952,397456.110085068),ncol=2)","FALSE","NA","NA","NA"
"scatter","+","/singlets/nonRBCs","FSC-A,SSC-A","polygon_gate","matrix(c(1004633.34082932,788679.091712542,1021952.08818795,1451992.78445668,1920835.83791851,2072782.42912507,1799371.26822498,1522577.39096582,994359.758250336,1297722.8865472,852994.388427026,434568.648658263,398015.219429629,837165.378542191,1376008.20872672,1706622.3683039,1746977.15103619,1301301.98976889),ncol=2)","FALSE","NA","NA","NA"
